Period,Set,name,Tracts,geometry,polyColor,lineWidth,lineColor,Families,Services Used
1,Census Tract,Tract 106,106,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-77.455287,37.571454,0.0 -77.4543,37.570467,0.0 -77.45415,37.570144,0.0 -77.449268,37.57011,0.0 -77.449145,37.568592,0.0 -77.443163,37.569213,0.0 -77.443131,37.569064,0.0 -77.443083,37.568941,0.0 -77.443013,37.568843,0.0 -77.442895,37.568745,0.0 -77.442734,37.568652,0.0 -77.442482,37.568613,0.0 -77.442203,37.568584,0.0 -77.441527,37.56855,0.0 -77.441651,37.569349,0.0 -77.441114,37.569562,0.0 -77.44105,37.569634,0.0 -77.440996,37.569804,0.0 -77.440996,37.570365,0.0 -77.43988,37.570331,0.0 -77.439977,37.5688,0.0 -77.43531,37.568579,0.0 -77.434988,37.573129,0.0 -77.433786,37.573018,0.0 -77.433647,37.575238,0.0 -77.433894,37.577754,0.0 -77.434473,37.577372,0.0 -77.437091,37.576232,0.0 -77.438314,37.575688,0.0 -77.439451,37.575093,0.0 -77.444429,37.573392,0.0 -77.445288,37.573766,0.0 -77.445116,37.572168,0.0 -77.452583,37.572372,0.0 -77.455287,37.571454,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",red,1,red,55,2
1,Census Tract,Tract 104.02,104,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-77.455287,37.571454,0.0 -77.452583,37.572372,0.0 -77.445116,37.572168,0.0 -77.445288,37.573766,0.0 -77.444429,37.573392,0.0 -77.443464,37.573732,0.0 -77.444193,37.57812,0.0 -77.440975,37.57812,0.0 -77.442048,37.58465,0.0 -77.462733,37.584157,0.0 -77.461649,37.578265,0.0 -77.461284,37.57784,0.0 -77.46137,37.577695,0.0 -77.461188,37.574549,0.0 -77.460082,37.573774,0.0 -77.456875,37.572338,0.0 -77.455287,37.571454,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",blue,1,blue,23,2
1,Census Tract,Tract 103,103,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-77.44782,37.594478,0.0 -77.447412,37.592829,0.0 -77.446779,37.591375,0.0 -77.446704,37.590916,0.0 -77.447036,37.590873,0.0 -77.447305,37.590848,0.0 -77.447552,37.590729,0.0 -77.447316,37.589164,0.0 -77.447476,37.588238,0.0 -77.445674,37.588306,0.0 -77.445331,37.588289,0.0 -77.444902,37.588051,0.0 -77.439451,37.584888,0.0 -77.438464,37.584956,0.0 -77.439387,37.5855,0.0 -77.437692,37.587252,0.0 -77.437456,37.588153,0.0 -77.437928,37.58885,0.0 -77.437992,37.589734,0.0 -77.437391,37.590771,0.0 -77.438314,37.592318,0.0 -77.44031,37.594036,0.0 -77.44076,37.597538,0.0 -77.438614,37.598626,0.0 -77.437906,37.59866,0.0 -77.443872,37.601584,0.0 -77.447455,37.602196,0.0 -77.449236,37.601873,0.0 -77.44782,37.594478,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",yellow,1,yellow,100,5
1,Census Tract,Tract 105,105,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-77.442326,37.586554,0.0 -77.440975,37.57812,0.0 -77.444193,37.57812,0.0 -77.443464,37.573732,0.0 -77.439451,37.575093,0.0 -77.434473,37.577372,0.0 -77.433829,37.577814,0.0 -77.432799,37.578324,0.0 -77.430782,37.580254,0.0 -77.431619,37.580637,0.0 -77.43149,37.580862,0.0 -77.434055,37.582452,0.0 -77.438464,37.584956,0.0 -77.439451,37.584888,0.0 -77.442326,37.586554,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",blue,1,blue,72,5
1,Census Tract,Tract 107,107,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-77.430782,37.580254,0.0 -77.432327,37.578715,0.0 -77.432799,37.578324,0.0 -77.433894,37.577754,0.0 -77.433647,37.575238,0.0 -77.433786,37.573018,0.0 -77.434988,37.573129,0.0 -77.43531,37.568579,0.0 -77.431861,37.568396,0.0 -77.431952,37.567083,0.0 -77.431941,37.565705,0.0 -77.429312,37.56562,0.0 -77.42854,37.566708,0.0 -77.428186,37.567168,0.0 -77.428046,37.567559,0.0 -77.428014,37.567848,0.0 -77.428036,37.568205,0.0 -77.428068,37.569004,0.0 -77.428175,37.569336,0.0 -77.428186,37.569498,0.0 -77.428089,37.569642,0.0 -77.42781,37.569821,0.0 -77.427403,37.57022,0.0 -77.427156,37.570646,0.0 -77.427027,37.571139,0.0 -77.427059,37.572193,0.0 -77.427113,37.572653,0.0 -77.427049,37.57295,0.0 -77.426931,37.573146,0.0 -77.426829,37.573252,0.0 -77.426705,37.573375,0.0 -77.426319,37.573682,0.0 -77.426137,37.573954,0.0 -77.425965,37.574413,0.0 -77.425729,37.57517,0.0 -77.425579,37.578154,0.0 -77.424785,37.582048,0.0 -77.430139,37.581827,0.0 -77.430782,37.581555,0.0 -77.431169,37.580671,0.0 -77.43149,37.580862,0.0 -77.431619,37.580637,0.0 -77.430782,37.580254,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",green,1,green,93,3
1,Census Tract,Tract 108,108,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-77.418079,37.582133,0.0 -77.423229,37.582133,0.0 -77.424785,37.582048,0.0 -77.425579,37.578154,0.0 -77.425729,37.57517,0.0 -77.425965,37.574413,0.0 -77.426137,37.573954,0.0 -77.426319,37.573682,0.0 -77.426705,37.573375,0.0 -77.426931,37.573146,0.0 -77.427049,37.57295,0.0 -77.427113,37.572653,0.0 -77.427059,37.572193,0.0 -77.427027,37.571139,0.0 -77.427156,37.570646,0.0 -77.427403,37.57022,0.0 -77.42781,37.569821,0.0 -77.428089,37.569642,0.0 -77.428186,37.569498,0.0 -77.428175,37.569336,0.0 -77.428068,37.569004,0.0 -77.420794,37.567601,0.0 -77.420139,37.567329,0.0 -77.418079,37.569931,0.0 -77.417831,37.570276,0.0 -77.413101,37.576352,0.0 -77.413337,37.576853,0.0 -77.413487,37.577372,0.0 -77.413573,37.578409,0.0 -77.413251,37.579923,0.0 -77.418079,37.582133,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",yellow,1,yellow,42,2
1,Census Tract,Tract 109,109,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-77.413101,37.576352,0.0 -77.420139,37.567329,0.0 -77.420922,37.566428,0.0 -77.421084,37.566351,0.0 -77.424731,37.563103,0.0 -77.425547,37.561351,0.0 -77.425718,37.560823,0.0 -77.425815,37.560126,0.0 -77.42633,37.557881,0.0 -77.426502,37.557064,0.0 -77.426738,37.556239,0.0 -77.427553,37.555533,0.0 -77.428089,37.554904,0.0 -77.429634,37.555261,0.0 -77.430975,37.554768,0.0 -77.427607,37.551927,0.0 -77.426748,37.551131,0.0 -77.424785,37.550795,0.0 -77.424817,37.551476,0.0 -77.424935,37.552828,0.0 -77.424882,37.553509,0.0 -77.42471,37.554062,0.0 -77.42442,37.554751,0.0 -77.423959,37.555431,0.0 -77.423379,37.556001,0.0 -77.422822,37.556537,0.0 -77.421985,37.557268,0.0 -77.421298,37.557906,0.0 -77.420665,37.558527,0.0 -77.420311,37.558867,0.0 -77.418852,37.559097,0.0 -77.417393,37.55919,0.0 -77.415687,37.558808,0.0 -77.409646,37.555754,0.0 -77.408402,37.557345,0.0 -77.408735,37.557855,0.0 -77.412586,37.559496,0.0 -77.413273,37.560628,0.0 -77.41338,37.561062,0.0 -77.413444,37.561912,0.0 -77.415483,37.563103,0.0 -77.41426,37.563902,0.0 -77.412425,37.564676,0.0 -77.411363,37.565127,0.0 -77.410419,37.565909,0.0 -77.409668,37.567168,0.0 -77.409389,37.56863,0.0 -77.409689,37.570756,0.0 -77.409797,37.57113,0.0 -77.410269,37.572338,0.0 -77.412801,37.575807,0.0 -77.413101,37.576352,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",red,1,red,78,5
1,Census Tract,Tract 301,301,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-77.44355,37.552369,0.0 -77.441962,37.551366,0.0 -77.441259,37.551127,0.0 -77.440438,37.550872,0.0 -77.438636,37.550583,0.0 -77.437928,37.550379,0.0 -77.436404,37.549698,0.0 -77.435712,37.549371,0.0 -77.435031,37.549052,0.0 -77.433228,37.548422,0.0 -77.432697,37.548091,0.0 -77.431893,37.548099,0.0 -77.431587,37.548167,0.0 -77.431024,37.54832,0.0 -77.430648,37.548431,0.0 -77.430305,37.548576,0.0 -77.430042,37.548695,0.0 -77.429849,37.548805,0.0 -77.429634,37.549014,0.0 -77.429152,37.549511,0.0 -77.42825,37.550549,0.0 -77.427607,37.551655,0.0 -77.430975,37.554496,0.0 -77.431641,37.554791,0.0 -77.433507,37.555193,0.0 -77.434344,37.555329,0.0 -77.435331,37.555329,0.0 -77.43649,37.554989,0.0 -77.437863,37.554649,0.0 -77.439108,37.554547,0.0 -77.440224,37.554411,0.0 -77.441983,37.554376,0.0 -77.44355,37.552369,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",blue,1,blue,23,1
1,Census Tract,Tract 110,110,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-77.426735,37.556249,0.0 -77.426738,37.556239,0.0 -77.426727,37.556256,0.0 -77.426735,37.556249,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-77.426735,37.556249,0.0 -77.426502,37.557064,0.0 -77.426384,37.557719,0.0 -77.42589,37.559794,0.0 -77.425815,37.560126,0.0 -77.425718,37.560823,0.0 -77.425547,37.561351,0.0 -77.424731,37.563103,0.0 -77.421084,37.566351,0.0 -77.420922,37.566428,0.0 -77.420139,37.567329,0.0 -77.420794,37.567601,0.0 -77.428057,37.569022,0.0 -77.428004,37.567865,0.0 -77.428036,37.567576,0.0 -77.428175,37.567185,0.0 -77.429302,37.565637,0.0 -77.43193,37.565722,0.0 -77.431941,37.5671,0.0 -77.43185,37.568414,0.0 -77.436512,37.568647,0.0 -77.436672,37.5667,0.0 -77.436844,37.56528,0.0 -77.435106,37.565118,0.0 -77.435213,37.564217,0.0 -77.435321,37.561818,0.0 -77.435428,37.559378,0.0 -77.434404,37.559308,0.0 -77.434475,37.557581,0.0 -77.434452,37.556783,0.0 -77.433454,37.55669,0.0 -77.433496,37.555482,0.0 -77.432724,37.555363,0.0 -77.43163,37.55508,0.0 -77.430964,37.554785,0.0 -77.429624,37.555278,0.0 -77.428079,37.554921,0.0 -77.427542,37.55555,0.0 -77.426735,37.556249,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",green,1,green,72,3
1,Census Tract,Tract 111,111,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-77.448034,37.556214,0.0 -77.446918,37.554853,0.0 -77.445202,37.553492,0.0 -77.44355,37.552641,0.0 -77.441983,37.554648,0.0 -77.440224,37.554683,0.0 -77.437863,37.554921,0.0 -77.435331,37.555601,0.0 -77.434344,37.555601,0.0 -77.433507,37.555465,0.0 -77.433454,37.55669,0.0 -77.434452,37.556783,0.0 -77.434404,37.559308,0.0 -77.435428,37.559378,0.0 -77.435106,37.565118,0.0 -77.436844,37.56528,0.0 -77.436512,37.568647,0.0 -77.439977,37.5688,0.0 -77.43988,37.570331,0.0 -77.440996,37.570365,0.0 -77.440996,37.569804,0.0 -77.44105,37.569634,0.0 -77.441114,37.569562,0.0 -77.441651,37.569349,0.0 -77.441527,37.56855,0.0 -77.442203,37.568584,0.0 -77.442482,37.568613,0.0 -77.442608,37.568632,0.0 -77.442734,37.568652,0.0 -77.443013,37.568843,0.0 -77.443083,37.568941,0.0 -77.443131,37.569064,0.0 -77.443163,37.569213,0.0 -77.449145,37.568592,0.0 -77.449268,37.57011,0.0 -77.449493,37.570114,0.0 -77.45415,37.570144,0.0 -77.453828,37.569481,0.0 -77.453699,37.568494,0.0 -77.454214,37.565671,0.0 -77.454429,37.563723,0.0 -77.454557,37.562541,0.0 -77.454429,37.560976,0.0 -77.453356,37.559275,0.0 -77.451553,37.558119,0.0 -77.449751,37.557234,0.0 -77.448034,37.556214,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",yellow,1,yellow,5,0
